Date,Station_Name,AGO_Sales (L),PMS_Sales (L),Lubricant_Sales (L),Diesel_Sales (L),LPG_Sales (kg),Total_Revenue (₦),Product_Category,Shift,Weekday,Total_Fuel_Sales,Non_Fuel_Sales,Day_Type
2025-01-01,Idimu,9751,14423,991,14362,1407,31642990,Lubricant,Morning,Wednesday,38536,2398,Weekday
2025-01-02,Iwaya,5866,12731,1427,11577,2207,26897740,Automotive Fuel,Night,Thursday,30174,3634,Weekday
2025-01-03,Maryland,10568,21058,884,14609,2112,37156280,Lubricant,Morning,Friday,46235,2996,Weekday
2025-01-04,Idimu,11098,11588,679,9188,2465,26843110,Automotive Fuel,Afternoon,Saturday,31874,3144,Weekend
2025-01-05,Iwaya,10284,10074,662,16289,1824,30492480,Cooking Gas,Afternoon,Sunday,36647,2486,Weekend
2025-01-06,Maryland,5053,22397,1239,9611,2371,30722170,Automotive Fuel,Afternoon,Monday,37061,3610,Weekday
2025-01-07,Idimu,10466,21070,783,13532,1076,35121840,Automotive Fuel,Afternoon,Tuesday,45068,1859,Weekday
2025-01-08,Iwaya,11083,28694,1021,9731,1012,37844970,Lubricant,Night,Wednesday,49508,2033,Weekday
2025-01-09,Maryland,13032,28180,576,19121,2028,46646020,Lubricant,Afternoon,Thursday,60333,2604,Weekday
2025-01-10,Idimu,6745,18554,929,16028,1613,33490860,Automotive Fuel,Afternoon,Friday,41327,2542,Weekday
2025-01-11,Iwaya,11097,14433,1196,16604,1383,34887030,Automotive Fuel,Morning,Saturday,42134,2579,Weekend
2025-01-12,Maryland,8605,10455,860,15783,2375,29930310,Automotive Fuel,Night,Sunday,34843,3235,Weekend
2025-01-13,Idimu,11547,26686,750,18632,2778,45145690,Automotive Fuel,Morning,Monday,56865,3528,Weekday
2025-01-14,Iwaya,10036,21319,1371,14533,2257,37961860,Lubricant,Afternoon,Tuesday,45888,3628,Weekday
2025-01-15,Maryland,8784,10359,731,16503,1190,29327310,Lubricant,Afternoon,Wednesday,35646,1921,Weekday
2025-01-16,Idimu,14159,15130,942,16228,2510,37778210,Lubricant,Night,Thursday,45517,3452,Weekday
2025-01-17,Iwaya,7406,23755,1474,12832,2654,36721390,Lubricant,Night,Friday,43993,4128,Weekday
2025-01-18,Maryland,9611,15622,1173,17301,2276,35829970,Automotive Fuel,Night,Saturday,42534,3449,Weekend
2025-01-19,Idimu,7963,26226,824,10145,1695,34426800,Cooking Gas,Afternoon,Sunday,44334,2519,Weekend
2025-01-20,Iwaya,11477,27949,1189,18291,2649,46402870,Lubricant,Afternoon,Monday,57717,3838,Weekday
2025-01-21,Maryland,8414,19987,884,18874,2544,38709130,Lubricant,Night,Tuesday,47275,3428,Weekday
2025-01-22,Idimu,9078,27765,1010,15795,1498,41100950,Cooking Gas,Afternoon,Wednesday,52638,2508,Weekday
2025-01-23,Iwaya,11975,14930,1088,11528,2646,32563810,Cooking Gas,Morning,Thursday,38433,3734,Weekday
2025-01-24,Maryland,12569,26735,1470,9947,2382,39925740,Automotive Fuel,Afternoon,Friday,49251,3852,Weekday
2025-01-25,Idimu,7928,24033,902,18321,2446,40473770,Cooking Gas,Afternoon,Saturday,50282,3348,Weekend
2025-01-26,Iwaya,11356,16292,1016,13767,2005,34131990,Cooking Gas,Night,Sunday,41415,3021,Weekend
2025-01-27,Maryland,5833,11164,634,12485,2684,25418450,Automotive Fuel,Morning,Monday,29482,3318,Weekday
2025-01-28,Idimu,14687,27279,1457,9262,2619,41481590,Lubricant,Night,Tuesday,51228,4076,Weekday
2025-01-29,Iwaya,13659,19171,624,10862,2516,34998840,Cooking Gas,Morning,Wednesday,43692,3140,Weekday
2025-01-30,Maryland,8302,29648,1151,15057,2160,41982440,Automotive Fuel,Night,Thursday,53007,3311,Weekday
2025-01-31,Idimu,9530,11753,1154,8480,2528,26197350,Cooking Gas,Morning,Friday,29763,3682,Weekday
2025-02-01,Iwaya,5749,10040,917,14520,1057,25476600,Automotive Fuel,Morning,Saturday,30309,1974,Weekend
2025-02-02,Maryland,8546,17273,831,19407,2197,37080140,Lubricant,Morning,Sunday,45226,3028,Weekend
2025-02-03,Idimu,5144,27155,1255,9970,2390,34225650,Lubricant,Night,Monday,42269,3645,Weekday
2025-02-04,Iwaya,7195,24803,546,8984,2456,32064680,Lubricant,Afternoon,Tuesday,40982,3002,Weekday
2025-02-05,Maryland,11324,11317,1185,14884,2349,32420580,Cooking Gas,Night,Wednesday,37525,3534,Weekday
2025-02-06,Idimu,7197,20784,616,15956,2852,35647470,Lubricant,Morning,Thursday,43937,3468,Weekday
2025-02-07,Iwaya,9501,27829,895,15908,1943,41700710,Cooking Gas,Morning,Friday,53238,2838,Weekday
2025-02-08,Maryland,9538,24472,1393,13875,2440,39297800,Lubricant,Night,Saturday,47885,3833,Weekend
2025-02-09,Idimu,9707,16336,1495,18014,1426,36872230,Cooking Gas,Night,Sunday,44057,2921,Weekend
2025-02-10,Iwaya,5464,16955,571,8124,1384,24098830,Automotive Fuel,Afternoon,Monday,30543,1955,Weekday
2025-02-11,Maryland,8641,14839,535,9715,1335,26297150,Automotive Fuel,Morning,Tuesday,33195,1870,Weekday
2025-02-12,Idimu,7200,13873,1330,10593,2507,27894660,Cooking Gas,Afternoon,Wednesday,31666,3837,Weekday
2025-02-13,Iwaya,9312,18427,1278,16064,2773,37047080,Cooking Gas,Afternoon,Thursday,43803,4051,Weekday
2025-02-14,Maryland,13021,25012,1422,15913,2967,44438160,Lubricant,Night,Friday,53946,4389,Weekday
2025-02-15,Idimu,12685,20353,1445,10579,1260,35378980,Cooking Gas,Night,Saturday,43617,2705,Weekend
2025-02-16,Iwaya,5446,17253,1420,19508,2373,36152560,Automotive Fuel,Morning,Sunday,42207,3793,Weekend
2025-02-17,Maryland,6861,20228,1280,14485,1132,33693850,Lubricant,Morning,Monday,41574,2412,Weekday
2025-02-18,Idimu,12640,12872,691,11438,2319,30579110,Cooking Gas,Afternoon,Tuesday,36950,3010,Weekday
2025-02-19,Iwaya,13840,11026,878,15142,1595,33075090,Automotive Fuel,Afternoon,Wednesday,40008,2473,Weekday
2025-02-20,Maryland,11147,15579,1345,10356,1547,30983470,Lubricant,Afternoon,Thursday,37082,2892,Weekday
2025-02-21,Idimu,6468,12016,636,14336,1560,27014920,Automotive Fuel,Morning,Friday,32820,2196,Weekday
2025-02-22,Iwaya,6238,14412,1237,9499,2332,26291680,Cooking Gas,Afternoon,Saturday,30149,3569,Weekend
2025-02-23,Maryland,10241,11685,1425,11169,2944,29786980,Cooking Gas,Afternoon,Sunday,33095,4369,Weekend
2025-02-24,Idimu,10157,26145,883,8103,1205,34046710,Cooking Gas,Morning,Monday,44405,2088,Weekday
2025-02-25,Iwaya,14276,22662,840,8680,2361,36241750,Automotive Fuel,Morning,Tuesday,45618,3201,Weekday
2025-02-26,Maryland,9745,15484,1308,19265,2384,37813050,Cooking Gas,Morning,Wednesday,44494,3692,Weekday
